1	1	1	1	1
1	1	0	0	1
1	0.5	1	0.5	1
2	1	2	1	1
1	0.333333333	1	0.333333333	1
1	0.5	0	0	1
2	0.666666667	2	0.666666667	1
2	1	1	0.5	1
3	1	3	1	1
1	0.25	1	0.25	1
2	1	0	0	1
1	0.333333333	0	0	1
2	0.666666667	1	0.333333333	1
2	0.5	2	0.5	1
3	1	2	0.666666667	1
2	0.4	2	0.4	1
1	0.166666667	1	0.166666667	1
1	0.2	1	0.2	1
1	0.25	0	0	1
2	0.666666667	0	0	1
3	0.75	3	0.75	1
2	0.333333333	2	0.333333333	1
3	0.75	2	0.5	1
4	1	3	0.75	1
2	0.5	1	0.25	1
3	0.6	3	0.6	1
3	1	0	0	1
2	0.2	2	0.2	1
1	0.1	1	0.1	1
3	0.5	3	0.5	1
3	0.6	2	0.4	1
1	0.125	1	0.125	1
1	0.142857143	1	0.142857143	1
4	1	4	1	1
4	0.8	3	0.6	1
1	0.166666667	0	0	1
2	0.285714286	2	0.285714286	1
1	0.090909091	1	0.090909091	1
2	0.25	2	0.25	1
3	0.375	2	0.25	1
1	0.2	0	0	1
1	0.142857143	0	0	1
2	0.5	0	0	1
3	0.3	3	0.3	1
3	0.5	2	0.333333333	1
3	0.3	2	0.2	1
1	0.125	0	0	1
2	0.333333333	1	0.166666667	1
4	0.4	3	0.3	1
2	0.4	1	0.2	1
4	0.666666667	4	0.666666667	1
3	1	1	0.333333333	1
2	0.285714286	1	0.142857143	1
4	0.666666667	3	0.5	1
4	0.8	2	0.4	1
1	0.1	0	0	1
2	0.2	1	0.1	1
4	1	2	0.5	1
2	0.4	0	0	1
2	0.25	1	0.125	1
3	0.428571429	3	0.428571429	1
6	0.6	4	0.4	1
4	0.444444444	3	0.333333333	1
2	0.181818182	2	0.181818182	1
4	0.8	4	0.8	1
5	0.5	4	0.4	1
3	0.6	1	0.2	1
3	0.375	3	0.375	1
3	0.75	0	0	1
3	0.428571429	2	0.285714286	1
4	0.571428571	2	0.285714286	1
3	0.375	1	0.125	1
5	0.833333333	5	0.833333333	1
4	0.4	2	0.2	1
